formula,images
N C _ { F } C _ { A } A _ { \gamma } ^ { 2 } = W _ { F } ^ { ( 2 ; n a ) } + W _ { F } ^ { ( 2 ; s e ) } + W _ { F } ^ { ( 2 ; 3 g ) } .,4c47813abd.png
V ( \sigma ) = \frac { 1 } { 3 2 \pi ^ { 2 } } \sigma ^ { 2 } \ln [ e ^ { - 3 / 2 } \sigma ],5dce3478f8.png
"j _ { a } ^ { \mu } = i \bar { \psi } _ { \alpha } ^ { A } ( \gamma ^ { \mu } ) _ { \beta } ^ { \alpha } T _ { a A } ^ { C } \psi _ { C } ^ { \beta } ,",52b981ea58.png
\kappa = \frac { 1 } { 4 \pi } ( \begin{array} { c c } l & n \\ n & j \end{array} ),2bdc993638.png
"Q _ { I \Sigma } ^ { \Lambda } \equiv < \vec { w } ^ { \Lambda } , L ^ { - 1 } ( \phi ) T _ { I } L ( \phi ) \vec { w } _ { \Sigma } >",605c5af051.png
"S _ { g r a v i p h o t o n } = \int d ^ { 4 } x \sqrt { - g } [ - \frac { 1 } { 8 } g ^ { \mu \rho } g ^ { \nu \sigma } F _ { \mu \nu } ^ { ( \alpha ) } F _ { \rho \sigma } ^ { ( \alpha ) } ] \int _ { - \infty } ^ { \infty } d z e ^ { - 2 k | z | } ,",2adf349420.png
\langle \bar { q } q \rangle ^ { 2 } + \langle \bar { q } i \gamma ^ { 5 } q \rangle ^ { 2 } = \frac { m ^ { 2 } } { g ^ { 4 } } .,1d7bf1beda.png
\delta ( t ) = \delta ( t _ { 0 } ) \pm \frac { \dot { \delta } ( t _ { 0 } ) } { 3 H } [ 1 - e ^ { \pm 3 H ( t _ { 0 } - t ) } ],420912ad89.png
U ^ { \prime } ( w ^ { \prime } ) = \frac { \int D w P ( w ) \chi ( R ( w ) = w ^ { \prime } ) U ( w ) } { \int D w P ( w ) \chi ( R ( w ) = w ^ { \prime } ) },831c2342c4.png
"( q ^ { 3 / 2 } - q ^ { - 1 / 2 } ) a _ { 1 } ^ { \pm } a _ { 2 } ^ { \mp } = q ^ { H } - q ^ { 1 \mp N } , ( q ^ { 1 / 2 } - q ^ { - 3 / 2 } ) a _ { 2 } ^ { \pm } a _ { 1 } ^ { \mp } = q ^ { H } - q ^ { \pm N - 1 }",60018c4e8d.png
"x = \phi ( \sigma - \alpha \tau ) + \Phi ( \sigma - \alpha \tau ) \tau ; \psi = \psi ( \sigma - \alpha \tau ) ,",23ed05dfdd.png
"\tilde { C } = - \frac { 3 } { 2 } g ^ { 2 } \delta ^ { a b } \int \frac { d ^ { 4 } k } { ( 2 \pi ) ^ { 4 } } d ^ { 2 } \theta d ^ { 2 } \overline { \theta } \frac { 1 } { ( k ^ { 2 } + m ^ { 2 } ) } \{ V ^ { a } ( p , \theta , \overline { \theta } ) V ^ { b } ( - p , \theta , \overline { \theta } ) \} .",328c68392b.png
r _ { 0 } ^ { 2 } = r _ { c } ^ { 2 } ( 1 + \frac { r _ { g } } { r _ { c } } ) + O [ ( \frac { r _ { g } } { r _ { c } } ) ^ { 2 } ] .,3cb6a340ae.png
w _ { 1 } ( \tau ) = P ^ { - 1 } w _ { 1 } ( \tau ) P ; w _ { 0 } ( x ) = Q ^ { - 1 } w _ { 0 } ( x ) Q .,316ae68e96.png
"\beta _ { h } ( g ) \equiv \mu \frac { d } { d \mu } g = - \frac { g ^ { 3 } } { 1 6 \pi ^ { 2 } } ( 3 N _ { c } - \sum _ { i } T _ { F i } ( 1 - \gamma _ { i } ) ) ,",6d4df9af28.png
"S ( p ; 1 ) = - \frac { 1 } { 2 p ^ { 2 } } + \frac { \pi } { 2 p } c o t h \pi p ,",412840d3a0.png
i ( 2 \pi ) ^ { 4 } \Phi ( q _ { 1 2 } P _ { 1 2 } ) = \Delta _ { 1 } ^ { - 1 } \Delta _ { 2 } ^ { - 1 } \lambda \int d ^ { 4 } q _ { 1 2 } ^ { \prime } \Phi ( q _ { 1 2 } ^ { \prime } P _ { 1 2 } ),3fdfde7724.png
D _ { i } ( \psi ) = D _ { i } \psi - \psi \nabla _ { i } .,50281bb1b4.png
"( \dot { X } _ { 1 } ^ { \mu } X _ { 0 } ^ { \nu } + \dot { X } _ { 0 } ^ { \mu } X _ { 1 } ^ { \nu } ) G _ { \mu \nu } + G _ { \mu \nu , \alpha } \dot { X } _ { 0 } ^ { \mu } X _ { 0 } ^ { \nu } X _ { 1 } ^ { \alpha } = 0 .",24b175333e.png
\phi _ { A } ^ { \ast } = \frac { \partial \Psi [ \phi ] } { \partial \phi ^ { A } },72bce38f2c.png
k = ( x ^ { 0 } + x ^ { 1 } ) \partial _ { 0 } + ( x ^ { 0 } + x ^ { 1 } ) \partial _ { 1 } + r \partial _ { r } .,4e61bbe1b6.png
"< \Psi ^ { i n } | \Gamma ^ { o u t } > = - \mu \sinh \pi \mu \int d \Omega d \Omega ^ { \prime } \Psi ^ { i n * } ( \Omega ) \triangle _ { - } ( P \Omega _ { A } , \Omega ^ { \prime } ) \Gamma ^ { i n } ( \Omega ^ { \prime } ) .",318a5915b7.png
"Q = L _ { \perp } ^ { 2 } \int d x ^ { - } J ^ { + } = i L _ { \perp } ^ { 2 } \int d x ^ { - } [ \partial _ { - } A _ { r } , A _ { r } ] .",3432773609.png
\sqrt { S _ { U D } ^ { \prime 2 } ( p ) - R _ { U D } ^ { 2 } ( p ) } = R _ { U D } ( p ) \eta ( p ^ { 0 } ) \sinh [ \beta ( p ^ { 0 } - \mu ) / 2 ] .,71b6177d66.png
g _ { D _ { y } } ^ { 2 } = \frac { 1 } { 2 R } .,1afc856b86.png
"M = g _ { 0 } \mu _ { B } s = - \frac { e ^ { 2 } } { 8 \pi | m | } B ,",2194308f10.png
"\eta _ { 1 } ( \beta \sqrt { - \triangle } ) = \frac { 2 \sqrt { \pi } } { \beta } \int _ { 0 } ^ { \infty } \frac { d s } { s ^ { 3 / 2 } } e ^ { - s m ^ { 2 } } \frac { f ( - s \triangle ) - 1 } { s \triangle } , \beta \rightarrow 0 ,",3056de8ac8.png
( \frac { \ddot { a } } { a } ) = - \frac { 8 \pi G } { 3 } [ \frac { 1 } { 2 } \rho _ { M } + 2 p _ { \Phi } + V ( R ) ],e80c879695.png
[ \Omega ^ { a } ( k ) + \Omega ^ { b \star } ( - k ) ] | \nu \rangle = 0 .,1588c18e01.png
2 ( m - 1 ) + 2 ( m - 3 ) + \cdots + 2 ( m - 2 N _ { c } + 1 ) = 2 N _ { c } ( m - N _ { c } ) .,606a858a67.png
J _ { + 1 } ^ { - \theta } 0 . 5 c m J _ { - 1 } ^ { \theta } 0 . 5 c m \frac { 2 } { \theta ^ { 2 } } ( k - \theta \cdot H _ { 0 } ),f54468fb9f.png
Q ^ { 2 } = \frac { 8 } { 9 m \lambda ^ { 2 } } \frac { p ^ { 2 } } { ( p ^ { 2 } + 2 m ^ { 2 } \lambda q + 2 m E _ { 0 } ) } .,5103dd1be4.png
"G ( \epsilon ) = e x p [ \frac { V } { ( 2 \pi ) ^ { ( n - 1 ) } } \sum _ { \sigma } \int d ^ { n - 1 } p \epsilon ( p ) [ d _ { p } ^ { ( \sigma ) } \bar { d } _ { \tilde { p } } ^ { ( - \sigma ) } - d _ { p } ^ { ( \sigma ) \dagger } \bar { d } _ { \tilde { p } } ^ { ( - \sigma ) \dagger } ] ] ,",16c8c438bb.png
\frac { B } { A } e ^ { - ( \beta - \alpha ) x _ { E } } = \frac { \alpha ^ { 2 } - \frac { \widetilde { E } } { 4 x _ { E } ^ { 2 } } } \beta ^ { 2 } - \frac { \widetilde { E } } { \frac { 1 } { 4 x _ { E } ^ { 2 } } },5e9d3c76f3.png
"A _ { M } ^ { 0 } = - \int d \tau ,",b2e96bf4f0.png
"\frac { \alpha ^ { ( I ) } \alpha ^ { ( J ) } } { 2 } + s - \frac { d _ { I } d _ { J } } { D - 2 } + \sum _ { i = 1 } ^ { N } r _ { i } \Delta _ { a i } ^ { ( I ) } \Lambda _ { b ^ { \prime } i } ^ { ( J ) } = 0 , I , J = 1 , 2",7f7057735a.png
"H _ { R } ^ { \prime } = \{ h ^ { \prime } | I m ( h ^ { \prime } , h ) = 0 \} , H _ { R } ^ { \prime } ( W ) = U ( g ) H _ { R } ^ { \prime }",1c098f5749.png
"\Phi _ { \mu } = \pi _ { \mu } - \frac { i } { 2 } \xi _ { \mu } , \Phi _ { D + 1 } = \pi _ { D + 1 } + \frac { i } { 2 } \xi _ { D + 1 } , \Phi _ { m } = \pi _ { m } + \frac { i } { 2 } \theta _ { m } ,",7e47adb31f.png
\frac { Q _ { t - 1 } ( u _ { j } ^ { t } + 2 ) Q _ { t } ( u _ { j } ^ { t } - 2 ) Q _ { t + 1 } ( u _ { j } ^ { t } ) } { Q _ { t - 1 } ( u _ { j } ^ { t } ) Q _ { t } ( u _ { j } ^ { t } + 2 ) Q _ { t + 1 } ( u _ { j } ^ { t } - 2 ) } = - 1,584ac31caa.png
\delta B _ { \mu \nu } = c W _ { \lambda [ \mu } V _ { \nu ] } ^ { \lambda } + \delta W _ { [ \mu } V _ { \nu ] } + \delta V _ { [ \mu } W _ { \nu ] },5c92beb20a.png
"m _ { 0 } ^ { 2 } = m ( \mu ) ^ { 2 } - \mu ^ { n - 2 } \frac { \lambda _ { 0 } } { 8 \pi } ( \frac { e ^ { \gamma } } { 4 \pi } ) ^ { n / 2 - 1 } \frac { 1 } { n / 2 - 1 } ,",72de839bae.png
\Delta ( M ^ { 2 } ) ^ { q - D } = \Delta ( m ^ { 2 } ) ^ { q - \bar { q } } = 4 \mu ^ { 2 } \Delta \ell = \frac { 1 } { \alpha ^ { ' } } \Delta \ell .,255d2baff9.png
"U ( a _ { 1 } , a _ { 2 } , a _ { 3 } ) = \pi ^ { \mu } \frac { \Gamma ( \mu - a _ { 1 } ) \Gamma ( \mu - a _ { 2 } ) \Gamma ( \mu - a _ { 3 } ) } { \Gamma ( a _ { 1 } ) \Gamma ( a _ { 2 } ) \Gamma ( a _ { 3 } ) } .",534128c1bc.png
z _ { a b } = ( \begin{array} { c c c c } z _ { + } & 0 & 0 & 0 \\ 0 & z _ { + } & 0 & 0 \\ 0 & 0 & z _ { H } & 0 \\ 0 & 0 & 0 & z _ { \chi } \end{array} ),33591d15dc.png
\tau _ { m e } = \frac { 1 } { 1 + b \chi + \chi ^ { 2 } } ( \begin{array} { c c c } ( b + \chi ) ^ { 2 } & - 2 & b + \chi \\ - \frac { 1 } { 2 } & \chi ^ { 2 } & \frac { \chi } { 2 } \\ - 2 ( b + \chi ) & - 4 \chi & - 1 + b \chi + \chi ^ { 2 } \end{array} ),143653825b.png
A _ { 2 n + 1 } = \partial _ { 2 n + 1 } - 2 R _ { n } \circ \partial _ { 1 } + ( \partial _ { 1 } R _ { n } ) .,3686d8806a.png
\tilde { \Psi } _ { l } = \Psi ( \tilde { q } ) ; \tilde { H } = H ( \tilde { q } ) .,12b7b440db.png
[ W _ { Z } ] = c _ { 2 } ( T Z ) - c _ { 2 } ( V _ { Z 1 } ) - c _ { 2 } ( V _ { Z 2 } ),2823778644.png
\langle \bar { \phi } ^ { 2 } \rangle = \langle \phi ( \beta / 2 ) \phi ( 0 ) \rangle,3a74753377.png
n [ \Omega ] = - [ ( - 2 ) + ( - 1 ) ] = + 3 .,3732813441.png
U _ { i } U _ { j } = e ^ { - 2 \pi i \Theta _ { i j } } U _ { j } U _ { i } .,2d070fe607.png
"\alpha ^ { ' } m _ { R } ^ { 2 } = \frac { 1 } { 2 } P _ { R } ^ { 2 } + \sum _ { n > 0 } \alpha _ { - n } ^ { i } \alpha _ { n } ^ { i } + \sum _ { r > 1 / 2 } r S _ { - r } ^ { a } S _ { r } ^ { a } - \frac { 1 } { 2 } ,",48b1e9699e.png
\int \Psi \star \Phi = \int \prod _ { n = 0 } ^ { \infty } d x _ { n } d y _ { n } \delta ( x _ { n } - ( - 1 ) ^ { n } y _ { n } ) \Psi ( \{ x _ { n } \} ) \Phi ( \{ y _ { n } \} ) .,33651e280a.png
\frac { 1 } { 4 g _ { Y M } ^ { 2 } } F ^ { 2 } = \frac { 1 } { 3 2 \pi ^ { 2 } } g _ { Y M } \sqrt { N } \frac { 1 } { r ^ { 4 } },4bcaa4636f.png
"Q _ { l } = [ \begin{array} { c c } 0 & - i ( \partial _ { r } + \frac { \nu + 1 } { r } ) \\ - i ( \partial _ { r } - \frac { \nu } { r } ) & 0 \end{array} ] ,",3b682c951a.png
\widetilde { F } ( \beta ) = - \frac { 1 } { \beta } \log \widetilde { Z } ( \beta ) = - \frac { 1 } { \beta } \sum _ { \ell = 1 } ^ { \infty } \ell ^ { 2 } \log ( 1 - e ^ { - \beta \sqrt { \ell ^ { 2 } + \mu _ { e f f } ^ { 2 } } / r } ) .,385000c62e.png
"D f = \overline { D } \overline { f } = 0 ,",49e348ec33.png
"\{ Q ( \lambda ) , Q ( \eta ) \} = Q ( [ \lambda , \eta ] ) - \frac { \kappa } { \pi } \oint _ { \partial D } d \varphi < \lambda \partial _ { \varphi } \eta > ,",5f976ca374.png
( \begin{array} { c } n _ { e } \\ n _ { m } \end{array} ) \to ( \begin{array} { c c } a & b \\ c & d \end{array} ) ( \begin{array} { c } n _ { e } \\ n _ { m } \end{array} ) .,fb6b7cebca.png
( \psi _ { n } ^ { ( K ) } ) ^ { * } = \psi _ { - n } ^ { ( K ^ { + } ) },486ec08b5b.png
a = \sqrt { \kappa ( \beta ) } .,404ccdcba3.png
"\Delta w ( \sigma , \rho ) = - ( t r g \rho \rho ^ { \dagger } ) w ( \sigma , \rho ) ,",4354ee5596.png
"d \bar { s } _ { ( 4 ) } ^ { 2 } = - \frac { \rho ^ { 2 } } { \ell ^ { 2 } } d t ^ { 2 } + \frac { \ell ^ { 2 } } { \rho ^ { 2 } } d \rho ^ { 2 } + \rho ^ { 2 } ( d \theta ^ { 2 } + d \varphi ^ { 2 } ) ,",2aa1a3cb67.png
"\eta = \mu ^ { - 2 } E ,",4a2596cf2c.png
"\delta A = Q \Lambda + [ A , \Lambda ] .",73a2d0cce1.png
"[ a _ { n } , a _ { m } ^ { \dagger } ] = \delta _ { n , m } .",54c8cbc24d.png
\langle \mu \rangle = e x p ( \int _ { 0 } ^ { \beta } \rho ( x ) d x ),18d34685ba.png
\beta ( P _ { 0 } ; \kappa ) = - P _ { 0 } ^ { 2 } \frac { e ^ { P _ { 0 } / \kappa } } { 2 f ( P _ { 0 } ) } ( \frac { n \Phi ( P _ { 0 } ) } { \kappa } + \Phi ^ { \prime } ( P _ { 0 } ) - \frac { e ^ { - P _ { 0 } / \kappa } \Phi ( P _ { 0 } ) } { f ( P _ { 0 } ) } ) .,10fc2302b9.png
\int _ { 2 + 1 } \frac { \phi ^ { N } } { M _ { p } ^ { N - 2 } } A .,7a3374a8f5.png
"\bar { N } = \Sigma N \Sigma ^ { T } , \bar { g } _ { \mu \nu } = g _ { \mu \nu } , \bar { y } = y",7621a4d854.png
"\frac { D ^ { 2 } x ^ { \mu } } { D \tau ^ { 2 } } = 0 ,",4354b10f60.png
\partial _ { \alpha } f ^ { \alpha } ( r ) = - i 2 p \pi \varrho ( r ),6427c167f1.png
z _ { s } = \sqrt { \frac { 2 } { ( n + 1 ) } } \sin q s 1 \le s \le n,1e21c32e2f.png
( \bar { \lambda } \chi ) ^ { * } = ( \bar { \lambda } ^ { i } \chi _ { i } ) ^ { * } = \chi _ { i } ^ { \dagger } ( \bar { \lambda } ^ { i } ) ^ { \dagger } = \bar { \chi } ^ { i } \lambda _ { i } = \bar { \lambda } ^ { i } \chi _ { i } = \bar { \chi } \lambda = \bar { \lambda } \chi .,2a99b665aa.png
"\{ B _ { i } ( x ) , B _ { j } ( y ) \} _ { D } = - \frac { 1 } { m } \epsilon _ { i j } \delta ^ { 2 } ( x - y ) ,",3fc05deaac.png
"( - 1 ) ^ { | J | + | K | } \sum _ { L , M } \binom { J } { L } \binom { K } { M } \int D _ { L } \theta _ { \Omega } D _ { M } \theta _ { \Omega } D _ { J - L } f D _ { K - M } g ,",bee84042b5.png
B _ { i j k l } = \nabla _ { i } G _ { j k l } - \nabla _ { j } G _ { i k l } + G _ { i k m } G _ { j l } ^ { m } - G _ { j k m } G _ { i l } ^ { m } + R _ { i j k l },5620fc409d.png
"d : c ^ { p , q } \rightarrow c ^ { p + 1 , q } , p a r t i a l : c ^ { p , q } \rightarrow c ^ { p , q + 1 } , \{ d , \partial \} = 0 ,",5e45218516.png
"H _ { m a s s } = [ \begin{array} { c c } E _ { 1 } & 0 \\ 0 & E _ { 2 } \end{array} ] ,",2ccc8326d5.png
S = S _ { b r a n e } + S _ { a n t i b r a n e },1f38cda876.png
A \wedge ( B \wedge C ) + B \wedge ( C \wedge A ) + C \wedge ( A \wedge B ) = 0,35d840860a.png
\frac { x ^ { 8 / 3 } } { l ^ { 2 } } + x ^ { 2 } - M x + Q ^ { 2 } \le 0 .,15d32dec98.png
2 \alpha ^ { 2 } + ( d - 2 ) \alpha ^ { \prime } \beta ^ { \prime } - d \beta ^ { 2 } = ( \alpha ^ { \prime } - \beta ^ { \prime } ) ( 2 \alpha ^ { \prime } + d \beta ^ { \prime } ) \sim 0 .,65f6d6b4fa.png
- \frac { \partial ^ { 2 } \phi } { \partial t ^ { 2 } } + \frac { \partial ^ { 2 } \phi } { \partial \xi ^ { 2 } } - 2 \phi ( \phi ^ { 2 } - 1 ) = 0 .,646a092243.png
"\Omega _ { b \nu } ( a z , b z ) = \frac { \bar { I } _ { \nu } ^ { ( a ) } ( a z ) / \bar { I } _ { \nu } ^ { ( b ) } ( b z ) } { \bar { K } _ { \nu } ^ { ( a ) } ( a z ) \bar { I } _ { \nu } ^ { ( b ) } ( b z ) - \bar { K } _ { \nu } ^ { ( b ) } ( b z ) \bar { I } _ { \nu } ^ { ( a ) } ( a z ) } .",14b55e943c.png
"D _ { \alpha } \psi _ { ( s , 0 ) } = \frac { i } { 2 } \rho _ { \alpha } \psi _ { ( s , 0 ) } .",3055d37552.png
+ ( R ( x ) - h _ { + } ( x ) - h _ { - } ( x ) ) \bar { ( R ( x ) - e ^ { - i s x } - q ( x ) ) } .,6397f3abb9.png
"k _ { n } ^ { ( \sigma ) } = \frac { \sqrt { \varepsilon _ { 0 } } } { c } \sqrt { m ^ { 2 } \omega _ { 0 } ^ { 2 } - \omega _ { m , n } ^ { ( \sigma ) 2 } } .",d99fec8dc0.png
\Phi _ { a } = - D _ { n } \Pi _ { a } ^ { n } - \varphi _ { a b } ^ { k } c ^ { b } \pi _ { k } .,4c4ea0484f.png
S _ { a b } ^ { i i } ( \theta ) = S _ { a b } ^ { s u ( k _ { i } ) } ( \theta ) .,3fe2144d32.png
"[ e ^ { i g \int _ { x } ^ { x + \epsilon ^ { \mu } } A \cdot d x } \Psi ( x + \epsilon ^ { \mu } ) e ^ { - i g \int _ { x } ^ { x + \epsilon ^ { \mu } } A \cdot d x } , \Psi ( x ) ]",78a4e1c497.png
"\varepsilon _ { \mu \nu \rho } \varepsilon ^ { \rho \sigma \tau } = \delta _ { \mu } ^ { \sigma } \delta _ { \nu } ^ { \tau } - \delta _ { \nu } ^ { \sigma } \delta _ { \mu } ^ { \tau } ,",3db7899f6c.png
\frac { 1 } { 8 \pi ( W ^ { * } W ) ( V ^ { * } V ) } \epsilon ^ { \mu \nu \lambda } ( W ^ { * } \partial _ { \mu } W - W \partial _ { \mu } W ^ { * } ) \partial _ { \nu } ( V ^ { * } \partial _ { \lambda } V - V \partial _ { \lambda } V ^ { * } ),456f7e6a84.png
d s ^ { 2 } = B d t ^ { 2 } - A d r ^ { 2 } - r ^ { 2 } ( d \theta ^ { 2 } + \sin ^ { 2 } \theta d \phi ^ { 2 } ) .,21d8ff6cfb.png
"\sum _ { i } ( Q _ { i } | \phi _ { i } | ^ { 2 } - Q _ { p } | p | ^ { 2 } - r ) = 0 ,",6420da1207.png
"\dot { \varphi } _ { 7 \mu } = \{ \varphi _ { 7 \mu } , \int H \} \approx 0",42a1f7e515.png
3 | x | ^ { 4 } \sim 6 x ^ { 2 } ( x \cdot y ) \sim 4 ( x \cdot y ) ^ { 2 } + 2 x ^ { 2 } y ^ { 2 } .,39ca94b02e.png
"l i m _ { n \to \infty } \phi _ { n } , c _ { n } = 0 .",4e2e0bf957.png
"\begin{array} { c } \sum _ { j = 1 } ^ { M } \phi ( \Theta - \vartheta _ { j } , 1 / 2 ) = \int _ { a s y m p } ^ { \Theta } d x W ( x ) \\ \sum _ { j = 1 } ^ { M } \phi ( \Theta + \vartheta _ { j } , 1 / 2 ) = - \sum _ { j = 1 } ^ { M } \phi ( - \Theta - \vartheta _ { j } , 1 / 2 ) = - \int _ { a s y m p } ^ { - \Theta } d x W ( x ) . \end{array}",398b177e38.png
J \in k e r ( \ast d _ { 1 } + ( \ast d _ { 1 } ) ^ { 2 } ) ^ { \perp },3cfe07dc79.png
"A _ { n } = \frac { \beta } { \sqrt { \pi } } \sum _ { m = n } ^ { 2 n } \Gamma ( m - n + 1 / 2 ) \breve { a } _ { 2 ( m - n ) , m } .",6edf30f287.png
"\mu _ { k } ^ { \prime \prime } + \{ k ^ { 2 } [ \frac { \epsilon _ { 1 } } { 1 + e ^ { x } } + \frac { \epsilon _ { 3 } e ^ { x } } { ( 1 + e ^ { x } ) ^ { 2 } } ] - ( 1 - 6 \xi ) \frac { \beta ( \beta + 1 ) } { \eta ^ { 2 } } \} \mu _ { k } = 0 ,",6f082482d3.png
( P _ { \bar { z } _ { i } } - m A _ { \bar { z } } ^ { \prime } ) d e t \vec { \Psi } _ { i } ( z _ { j } ) = 0 .,1728f3f433.png
"W [ \Phi ] = \frac { 1 } { 2 } \int _ { - \infty } ^ { \infty } d x ^ { + } \int _ { 0 } ^ { L } d x _ { 1 } ^ { - } \int _ { 0 } ^ { L } d x _ { 2 } ^ { - } \Phi ^ { \star , + + } ( x _ { 1 } ^ { - } , x ^ { + } | x _ { 2 } ^ { - } , x ^ { + } ) ( \pi _ { ( 1 ) } ^ { - } + \pi _ { ( 2 ) } ^ { - }",7e16b8d8e2.png
R _ { M N } - \frac { 1 } { 2 } G _ { M N } R = - \frac { 1 } { 4 M ^ { 3 } } [ \Lambda G _ { M N } + ( v _ { b } G _ { \mu \nu } - S _ { \mu \nu } ) \delta _ { M } ^ { \mu } \delta _ { N } ^ { \nu } \delta ( y ) ],72bf7bb58d.png
\tau _ { \alpha \beta } = ( \begin{array} { c c } i T _ { 1 1 } & \frac { 1 } { 2 } + i T _ { 1 2 } \\ \frac { 1 } { 2 } + i T _ { 1 2 } & i T _ { 2 2 } \end{array} ) .,5cb78a1f0d.png
"\tau _ { 5 } = ( 2 \pi ) ^ { - 5 } g _ { s } ^ { - 1 } \alpha ^ { - 3 } ,",160c439afd.png
"A _ { 3 } ( 0 , x ^ { - } ) = \frac { g L } { 2 \pi ^ { 2 } } \sum _ { N = - \infty } ^ { \infty \stackrel { \prime } } \frac { C _ { N } ^ { 3 } } { N ^ { 2 } } e ^ { - i N \pi x ^ { - } / L } .",6bc42687bf.png
"F _ { h } ( x ) = \sum _ { n = 0 } ^ { \infty } \beta ( h , n ) x ^ { n + h } .",5754e32527.png
"D _ { n , m = 0 } ^ { ( 0 ) } ( d ) = ( \begin{array} { c } n + d - 2 \\ n \end{array} )",2898db63f5.png
"< A B | A B > = \frac { 1 } { r ^ { 2 } } < A | A > < B | B > ,",5739002ce7.png
"- ( X ^ { 0 } ) ^ { 2 } + ( X ^ { 1 } ) ^ { 2 } + \dots + ( X ^ { D - 2 } ) ^ { 2 } = - \tau ^ { 2 } ,",56a7b35550.png
q = \frac { \dot { z } + g \rho ^ { 2 } \dot { \phi } } { 1 + g ^ { 2 } \rho ^ { 2 } },53263d8f3a.png
"( X ( v , x ) - X ( v , x ^ { \prime } ) ) ^ { 2 } = - e ^ { 2 v } ( x - x ^ { \prime } ) ^ { 2 } .",4238aeccc4.png
"[ L _ { 1 } ( \lambda ) , L _ { 2 } ( \mu ) ] = i [ r _ { 1 2 } ( \lambda , \mu ) , L _ { 1 } ( \lambda ) ] - i [ r _ { 2 1 } ( \mu , \lambda ) , L _ { 2 } ( \mu ) ] .",5164751326.png
"\gamma \Theta _ { \mu } ^ { a } = D _ { \mu } ^ { ( \Theta ) } C ^ { a } ,",64ae434b0d.png
S _ { e f f } =,40724f1627.png
E ( R ) = - \sum _ { j = 1 } ^ { n } \frac { m _ { j } } { 2 \pi } \int _ { - \infty } ^ { \infty } d \theta \nu _ { j } ( \theta ) \log ( 1 + e ^ { - \epsilon _ { j } ( \theta ) } ) .,192ba94a05.png
"\alpha ( I ^ { \omega } ( O _ { x } ^ { \omega } ) ) = I ^ { \omega } ( O _ { x } ^ { \omega } ) , \forall \alpha \in G _ { \omega }",2cdbded874.png
\frac { \kappa + \alpha } { ( \kappa - a _ { 1 } ) ( \kappa - \kappa _ { 1 } ) ( \kappa - \kappa _ { 2 } ) },2cf27d6ca7.png
\lambda = \frac { r - r _ { + } } { ( r - r _ { + } + \hat { P } ) ^ { 1 / 2 } ( r - r _ { + } + \hat { Q } ) ^ { 1 / 2 } },318f1d14eb.png
"d F = 0 , \delta F = 0",31776d6f5d.png
"M _ { a b } P ^ { b c } M _ { c d } = - M _ { a d } ,",9e9d09a8c3.png
